date,title
04/10,宜特Q1營收9.81億元 創歷史次高
04/10,瑩碩取得漢達戒菸輔助劑台灣授權 搶攻2.4億元市場商機
04/10,瀚荃3月營收月增6成 4月部分急單湧業績逐季回溫
04/10,PCB廠博智3月營收2.26億元探19個月來低點 4月仍清淡
04/10,2因素影響 3月外匯存底5602.79億美元 連續6個月正成長
04/10,合勤控Q1營收寫新高 智易、中磊、正文創同期高
04/10,威剛Q2起營運穩健向上 董座：下半年產業進入多頭市場
04/10,閎康3月、Q1營收同創高 未來可望強勁成長
04/10,華碩Q1營收1113.9億元雙減 Q2估成長雙位數
04/10,談亞太電合併案 遠傳井琪：有望Q4前完成
04/10,晶華擺脫疫情陰霾 Q1營收創單季高 4-5月平均住房仍有8成
04/10,面板廠3月營收回溫 雙虎月增逾1成、彩晶成長47%
04/10,台達電Q1營收寫同期新高 僑威3月創單月次高
04/10,和碩、英業達Q1營收均寫同期次高 筆電出貨量優於預期
04/10,亞泰金屬首季營收3.42億元年增1.6% 新廠5月將完工
04/10,〈車市〉戴姆勒商車首款電動車FUSO eCanter 明年Q1在台亮相
04/10,聯發科Q1營收957億元 探11季低點 Q2可望好轉
04/10,台睿硒缺乏症注射液進軍中國 獲五年至少600萬支訂單
04/10,市場需求未見好轉 欣興Q1營收265億元下探7季以來低點
04/10,等了10年 權證避險降稅今天財委會初審過關
04/10,建通3月營收月增37% 異型導體銅材出貨升溫
04/10,台積營收連二降 Q1未達財測 Q2季減幅度恐高於預期
04/10,慧洋-KY Q1每股虧損0.17元 2年半來首見
04/10,國內中大型券商申請成立STO平台 首檔虛擬債券年底可望上路
04/10,客戶拉貨積極 聯詠3月營收衝10個月高 Q1 240億元超標
04/10,代工廠營收出爐 廣達、仁寶Q1營收雙減
04/10,光隆首季營收創8季以來新低 兩理由加持估Q2營收將有高成長
04/10,美股財報季：免死金牌的轉移？
04/10,【新台股龍捲風】 AI來的太快就像龍捲風！新飆股開始布局囉！
