"標題","連結","日期",
"金融投資詐騙民眾有感 網路活動參與踴躍","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801850ae204c00158","111年12月13日",
"證交所將與櫃買中心共同舉辦「永續報告書確信機構管理宣導會」","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801850ac8a1f40153","111年12月13日",
"全體上市公司111年11月份當月營收較110年同期衰退13.21％，累計營業收入較110年同期成長6.66％","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf88801850a53f825014c","111年12月13日",
"臺灣證券交易所有價證券上市審議委員會審議通過泓德能源科技股份有限公司初次申請創新板股票上市案","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018505dcaceb0148","111年12月12日",
"上週外資在集中市場賣超192.91億元，賣超鴻海4.06萬張最多，另買超臺企銀4.31萬張最多。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018504e3dc4d0143","111年12月12日",
"「聽見南台灣」公益音樂會，證交所攜手國立臺灣交響樂團前進屏東來義高中，落實藝術扎根 文化平權","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf888018503e807020133","111年12月12日",
"本週發行量加權股價指數跌幅約為1.77%，上市股票總市值達46.03兆元","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184f6321e98012e","111年12月09日",
"證交所攜手資誠及永豐金證券行銷臺灣資本市場優勢","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184f5ed78c10129","111年12月09日",
"臺灣證券交易所訂於12月12日召開有價證券上市審議委員會第770次會議，將審議泓德能源科技(股)公司之申請股票創新板上市案。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184f5a4cfbc011b","111年12月09日",
"2022年11月集中市場相關數據","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184f0cc1bdb0116","111年12月08日",
"111年度證交所與證券商負責人業務座談會圓滿成功","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184ec4b878c010d","111年12月07日",
"「巨有科技股份有限公司」(證券代號：8227)採競價拍賣方式辦理承銷，於今(12/6)日順利完成。","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184e6f3d23700de","111年12月06日",
"第一上市公司「疫後解封」及「新南向投資」主題式業績發表會及產業講座圓滿結束","https://www.twse.com.tw/zh/about/news/news/content.html?ff80808184bbf8880184e6e0a86b00d6","111年12月06日",
